Test_Type,n_subj_test,FullAugmentation,FullAugFactor,TrainAugFactor,TrainAugmentation,pre_trained_model,subject,outer_fold,inner_fold,epochs,ID01_precision,ID01_recall,ID01_f1,ID01_support,ID02_precision,ID02_recall,ID02_f1,ID02_support,ID03_precision,ID03_recall,ID03_f1,ID03_support,ID04_precision,ID04_recall,ID04_f1,ID04_support,ID05_precision,ID05_recall,ID05_f1,ID05_support,ID06_precision,ID06_recall,ID06_f1,ID06_support,ID07_precision,ID07_recall,ID07_f1,ID07_support,macro_avg_precision,macro_avg_recall,macro_avg_f1,macro_avg_support,weighted_avg_precision,weighted_avg_recall,weighted_avg_f1,weighted_avg_support,accuracy,balanced_accuracy,train_time (s),predict_time (s),n_train_images,n_val_images,n_test_images,TrainSubjects,TestSubjects
Captura2,0,False,None,False,None,MobileNetV2,All,10,1,13,0.75,0.5454545454545454,0.631578947368421,11,0.5555555555555556,0.625,0.5882352941176471,8,0.6,0.3333333333333333,0.42857142857142855,9,0.75,1.0,0.8571428571428571,9,0.6875,0.9166666666666666,0.7857142857142857,12,0.6666666666666666,0.6,0.631578947368421,10,0.7272727272727273,0.7272727272727273,0.7272727272727273,11,0.6767135642135642,0.6782467532467533,0.6642992125079697,70,0.6823015873015873,0.6857142857142857,0.6709862892525432,70,0.6857142857142857,0.6782467532467533,478.55252051353455,4.857001066207886,552,69,70,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,2,12,0.8461538461538461,1.0,0.9166666666666666,11,1.0,0.875,0.9333333333333333,8,1.0,0.7777777777777778,0.8750000000000001,9,0.75,1.0,0.8571428571428571,9,1.0,0.5833333333333334,0.7368421052631579,12,0.9,0.9,0.9,10,0.7692307692307693,1.0,0.8695652173913044,10,0.8950549450549452,0.8765873015873016,0.8697928828281886,69,0.894927536231884,0.8695652173913043,0.8648846833529951,69,0.8695652173913043,0.8765873015873016,415.13624024391174,3.2441799640655518,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,3,9,0.7142857142857143,1.0,0.8333333333333333,10,1.0,0.8888888888888888,0.9411764705882353,9,1.0,0.7777777777777778,0.8750000000000001,9,0.6666666666666666,0.8888888888888888,0.761904761904762,9,0.9,0.75,0.8181818181818182,12,1.0,0.8,0.888888888888889,10,0.7,0.7,0.7,10,0.854421768707483,0.8293650793650793,0.8312121818424341,69,0.8542443064182195,0.8260869565217391,0.8296106540991453,69,0.8260869565217391,0.8293650793650793,310.5639855861664,3.5530776977539062,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,4,13,0.9090909090909091,1.0,0.9523809523809523,10,0.875,0.7777777777777778,0.823529411764706,9,1.0,0.6666666666666666,0.8,9,0.7272727272727273,0.8888888888888888,0.7999999999999999,9,0.8181818181818182,0.75,0.7826086956521738,12,0.7777777777777778,0.7,0.7368421052631577,10,0.7692307692307693,1.0,0.8695652173913044,10,0.8395077145077146,0.8261904761904761,0.8235609117788991,69,0.8376758105018974,0.8260869565217391,0.8230572725226462,69,0.8260869565217391,0.8261904761904761,441.5822012424469,3.5972797870635986,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,5,12,1.0,0.9,0.9473684210526316,10,0.6,0.6666666666666666,0.631578947368421,9,0.8181818181818182,1.0,0.9,9,0.7,0.7777777777777778,0.7368421052631577,9,0.8333333333333334,0.8333333333333334,0.8333333333333334,12,0.625,0.5,0.5555555555555556,10,0.8888888888888888,0.8,0.8421052631578948,10,0.7807720057720058,0.7825396825396824,0.778111946532999,69,0.7855438442394963,0.782608695652174,0.780667853207899,69,0.782608695652174,0.7825396825396824,390.87254881858826,2.7477331161499023,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,6,10,0.8,0.8,0.8000000000000002,10,1.0,0.7777777777777778,0.8750000000000001,9,1.0,0.75,0.8571428571428571,8,1.0,0.8,0.888888888888889,10,0.6666666666666666,0.6666666666666666,0.6666666666666666,12,0.75,1.0,0.8571428571428571,9,0.6428571428571429,0.8181818181818182,0.7200000000000001,11,0.8370748299319729,0.8018037518037519,0.8092630385487528,69,0.8234989648033126,0.7971014492753623,0.8008017023234415,69,0.7971014492753623,0.8018037518037519,333.2467315196991,5.268318176269531,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,7,13,0.9,0.9,0.9,10,1.0,0.875,0.9333333333333333,8,0.8571428571428571,0.6666666666666666,0.75,9,0.8333333333333334,1.0,0.9090909090909091,10,0.7692307692307693,0.9090909090909091,0.8333333333333333,11,0.9,0.9,0.9,10,0.8,0.7272727272727273,0.761904761904762,11,0.86567242281528,0.8540043290043291,0.8553803339517626,69,0.8595530073790945,0.855072463768116,0.8529738377564464,69,0.855072463768116,0.8540043290043291,465.06665802001953,3.737086534500122,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,8,11,0.875,0.7,0.7777777777777777,10,1.0,0.75,0.8571428571428571,8,1.0,0.7777777777777778,0.8750000000000001,9,0.6666666666666666,0.4,0.5,10,0.45,0.8181818181818182,0.5806451612903226,11,0.6666666666666666,0.6,0.631578947368421,10,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.7423992673992673,0.668903318903319,0.6864968681303873,69,0.7240059457450762,0.6666666666666666,0.6757894717313777,69,0.6666666666666666,0.668903318903319,404.8135542869568,3.6468441486358643,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,9,16,0.7272727272727273,0.8,0.761904761904762,10,0.7142857142857143,0.625,0.6666666666666666,8,0.8181818181818182,1.0,0.9,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,9,0.75,0.75,0.75,12,1.0,0.6,0.7499999999999999,10,0.6923076923076923,0.8181818181818182,0.7500000000000001,11,0.7669592312449456,0.7514069264069264,0.7493197278911564,69,0.7676236806671589,0.7536231884057971,0.7507591442374051,69,0.7536231884057971,0.7514069264069264,575.5416338443756,3.7007100582122803,553,69,69,,
Captura2,0,False,None,False,None,MobileNetV2,All,10,10,12,0.7777777777777778,0.7,0.7368421052631577,10,1.0,0.75,0.8571428571428571,8,0.8888888888888888,0.8888888888888888,0.8888888888888888,9,0.6666666666666666,0.8888888888888888,0.761904761904762,9,1.0,0.9166666666666666,0.9565217391304348,12,0.6666666666666666,0.6,0.631578947368421,10,0.5384615384615384,0.6363636363636364,0.5833333333333334,11,0.7912087912087912,0.7686868686868686,0.7737446618616934,69,0.7879350922829182,0.7681159420289855,0.7723684605338171,69,0.7681159420289855,0.7686868686868686,430.2354702949524,3.5368263721466064,552,70,69,,
